name,year,breedingstart,breedingend,confident,comment
B02,2020,2020-05-15,2020-07-15,1,"Aged ewe, never had a lamb and observed regularly throughout year - likely a good ""no lamb"" control. Note: B02's was killed by wolves in October, 2020 and her collar was redeployed on B26  Nov 9, 2020"
B05,2021,2021-05-15,2021-07-15,1,"Last confirmed observation without lamb June 17, 2021 - late lambing possible but considered less likely given poor body condition and fact that had a lamb in 2020  "
B08,2021,2021-05-15,2021-07-15,0,"UNCERTAIN. Last confirmed observation without lamb June 21, 2021 - late lambing possible but considered less likely given poor body condition and fact that had a lamb in 2020  "
B08,2022,2022-05-15,2022-07-15,1,"Collar off July 4. Could have had lamb, most likely no"
B17,2021,2021-05-15,2021-07-15,1,"Seen without lamb on Oct 13. Last observed without lamb June 1, 2021 - late lambing possible - seems unlikely based on movement pattern between June 1 and July 1, 2021"
B18,2021,2021-05-15,2021-07-15,0,"Seen without lamb on Oct 13. Last observed without lamb June 1, 2021 - late lambing possible - seems unlikely based on movement pattern between June 1 and July 1, 2021"
B18,2022,2022-05-15,2022-07-15,0,"shit data, discard for SSF. could have lamb, 99% confident"
B19,2022,2022-05-15,2022-07-15,1,had a yearling. High confidence
B22,2022,2022-05-15,2022-07-15,1,had a yearling. High confidence
B23,2022,2022-05-15,2022-07-15,1,"could have lamb, 99% confident"
B61,2022,2022-05-15,2022-07-15,1,High confidence
