name,year,windowstart,windowend,comment
B04,2020,2020-05-25,2020-06-03,"Confirmed June 3, 2020 - lamb less than a week old"
B05,2020,2020-05-15,2020-06-03,"Confirmed June 8, 2020 - lamb less than a week old "
B08,2020,2020-05-25,2020-06-10,"Confirmed August 12, 2020 - lamb 1+ month old, suspected birth location (high level of confidence): south slopes of Mount Brewster (I will get you the suspected lambing cluster dates )"
B09,2020,2020-05-28,2020-06-12,"Confirmed August 8, 2020 - lamb 1+ month old, suspected birth location (high level of confidence): west slopes of Mount Norquay (I will get you the suspected lambing cluster dates) "
B26,2021,2021-06-27,2021-07-15,"Last observed without lamb and noted as heavily pregnant on June 21, 2021. Lamb confirmed August 9, 2021, suspected lambing location (moderate level of confidence): west slopes Mount Brewster - cluster around July 4, 2021"
B19,2021,2021-06-03,2021-06-16,"Last observed without lamb and noted as heavily pregnant on June 3, 2021. Lamb estimate at ~1 week old confirmed June 16, 2021: Location Mount Norquay "
B22,2021,2021-06-03,2021-06-10,"Last observed without lamb and noted as heavily pregnant on June 3, 2021. Lamb estimate at <1 week old confirmed June 10, 2022: Location Mount Norquay, Note B22's collar was originally that of B07 in 2019 (redeployed Oct 19, 2020after B07 killed by a cougar). "
B16,2021,2021-06-07,2021-06-18,"Lamb estimate at <1 week old confirmed June 18, 2022: location Mount Brewster."
B05,2022,2022-05-16,2022-05-27,Collar removed partway through season. 
B17,2022,2022-05-16,2022-05-30,
B51,2022,2022-05-16,2022-06-08,
B16,2022,,,had a lamb
B60,2022,,,had a very late lamb. Between June 13 and August 17. Now dead. 
